trtpn,efffl,anl01fl,avisit,paramcd,agegr1,procedure,factor,denominator,measure,unit
0,Y,Y,Week 24,ACTOT,<65,max,aval,_ALL_,58,
54,Y,Y,Week 24,ACTOT,<65,n,base,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,base,_ALL_,13.285714286,
54,Y,Y,Week 24,ACTOT,<65,stddev,base,_ALL_,7.931252228,
54,Y,Y,Week 24,ACTOT,<65,median,base,_ALL_,12,
54,Y,Y,Week 24,ACTOT,<65,min,base,_ALL_,5,
54,Y,Y,Week 24,ACTOT,<65,max,base,_ALL_,29,
54,Y,Y,Week 24,ACTOT,<65,n,chg,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,chg,_ALL_,-0.428571429,
54,Y,Y,Week 24,ACTOT,<65,stddev,chg,_ALL_,7.1846397,
54,Y,Y,Week 24,ACTOT,<65,median,chg,_ALL_,-1,
54,Y,Y,Week 24,ACTOT,<65,min,chg,_ALL_,-9,
54,Y,Y,Week 24,ACTOT,<65,max,chg,_ALL_,13,
54,Y,Y,Week 24,ACTOT,<65,n,aval,_ALL_,7,
54,Y,Y,Week 24,ACTOT,<65,mean,aval,_ALL_,12.857142857,
54,Y,Y,Week 24,ACTOT,<65,stddev,aval,_ALL_,6.9385053969,
54,Y,Y,Week 24,ACTOT,<65,median,aval,_ALL_,10,
54,Y,Y,Week 24,ACTOT,<65,min,aval,_ALL_,6,
54,Y,Y,Week 24,ACTOT,<65,max,aval,_ALL_,25,
81,Y,Y,Week 24,ACTOT,<65,n,base,_ALL_,10,
81,Y,Y,Week 24,ACTOT,<65,mean,base,_ALL_,11.9,
81,Y,Y,Week 24,ACTOT,<65,stddev,base,_ALL_,7.9784431787,
81,Y,Y,Week 24,ACTOT,<65,median,base,_ALL_,9,
81,Y,Y,Week 24,ACTOT,<65,min,base,_ALL_,5,
81,Y,Y,Week 24,ACTOT,<65,max,base,_ALL_,30,
81,Y,Y,Week 24,ACTOT,<65,n,chg,_ALL_,10,
81,Y,Y,Week 24,ACTOT,<65,mean,chg,_ALL_,1.3,
81,Y,Y,Week 24,ACTOT,<65,stddev,chg,_ALL_,4.62000481,
81,Y,Y,Week 24,ACTOT,<65,median,chg,_ALL_,0.5,
81,Y,Y,Week 24,ACTOT,<65,min,chg,_ALL_,-4,
81,Y,Y,Week 24,ACTOT,<65,max,chg,_ALL_,13,
81,Y,Y,Week 24,ACTOT,<65,n,aval,_ALL_,10,
81,Y,Y,Week 24,ACTOT,<65,mean,aval,_ALL_,13.2,
81,Y,Y,Week 24,ACTOT,<65,stddev,aval,_ALL_,10.304260176,
81,Y,Y,Week 24,ACTOT,<65,median,aval,_ALL_,8,
81,Y,Y,Week 24,ACTOT,<65,min,aval,_ALL_,4,
81,Y,Y,Week 24,ACTOT,<65,max,aval,_ALL_,31,
0,Y,Y,Week 24,ACTOT,>80,n,base,_ALL_,26,
0,Y,Y,Week 24,ACTOT,>80,mean,base,_ALL_,20.730769231,
0,Y,Y,Week 24,ACTOT,>80,stddev,base,_ALL_,9.0445903934,
0,Y,Y,Week 24,ACTOT,>80,median,base,_ALL_,19,
0,Y,Y,Week 24,ACTOT,>80,min,base,_ALL_,5,
0,Y,Y,Week 24,ACTOT,>80,max,base,_ALL_,44,
0,Y,Y,Week 24,ACTOT,>80,n,chg,_ALL_,26,
0,Y,Y,Week 24,ACTOT,>80,mean,chg,_ALL_,2.6538461538,
0,Y,Y,Week 24,ACTOT,>80,stddev,chg,_ALL_,5.6776213871,
0,Y,Y,Week 24,ACTOT,>80,median,chg,_ALL_,2.5,
0,Y,Y,Week 24,ACTOT,>80,min,chg,_ALL_,-8,
0,Y,Y,Week 24,ACTOT,>80,max,chg,_ALL_,15,
0,Y,Y,Week 24,ACTOT,>80,n,aval,_ALL_,26,
0,Y,Y,Week 24,ACTOT,>80,mean,aval,_ALL_,23.384615385,
0,Y,Y,Week 24,ACTOT,>80,stddev,aval,_ALL_,10.899823569,
0,Y,Y,Week 24,ACTOT,>80,median,aval,_ALL_,19,
0,Y,Y,Week 24,ACTOT,>80,min,aval,_ALL_,11,
0,Y,Y,Week 24,ACTOT,>80,max,aval,_ALL_,59,
54,Y,Y,Week 24,ACTOT,>80,n,base,_ALL_,29,
54,Y,Y,Week 24,ACTOT,>80,mean,base,_ALL_,23.620689655,
54,Y,Y,Week 24,ACTOT,>80,stddev,base,_ALL_,11.935582436,
54,Y,Y,Week 24,ACTOT,>80,median,base,_ALL_,22,
54,Y,Y,Week 24,ACTOT,>80,min,base,_ALL_,7,
54,Y,Y,Week 24,ACTOT,>80,max,base,_ALL_,51,
54,Y,Y,Week 24,ACTOT,>80,n,chg,_ALL_,29,
54,Y,Y,Week 24,ACTOT,>80,mean,chg,_ALL_,2.6801426873,
54,Y,Y,Week 24,ACTOT,>80,stddev,chg,_ALL_,5.164434704,
54,Y,Y,Week 24,ACTOT,>80,median,chg,_ALL_,3,
54,Y,Y,Week 24,ACTOT,>80,min,chg,_ALL_,-11,
54,Y,Y,Week 24,ACTOT,>80,max,chg,_ALL_,12,
54,Y,Y,Week 24,ACTOT,>80,n,aval,_ALL_,29,
54,Y,Y,Week 24,ACTOT,>80,mean,aval,_ALL_,26.300832342,
54,Y,Y,Week 24,ACTOT,>80,stddev,aval,_ALL_,11.403865492,
54,Y,Y,Week 24,ACTOT,>80,median,aval,_ALL_,25,
54,Y,Y,Week 24,ACTOT,>80,min,aval,_ALL_,8,
54,Y,Y,Week 24,ACTOT,>80,max,aval,_ALL_,56.724137931,
81,Y,Y,Week 24,ACTOT,>80,n,base,_ALL_,14,
81,Y,Y,Week 24,ACTOT,>80,mean,base,_ALL_,25.642857143,
81,Y,Y,Week 24,ACTOT,>80,stddev,base,_ALL_,10.738909434,
81,Y,Y,Week 24,ACTOT,>80,median,base,_ALL_,21.5,
81,Y,Y,Week 24,ACTOT,>80,min,base,_ALL_,13,
81,Y,Y,Week 24,ACTOT,>80,max,base,_ALL_,46,
81,Y,Y,Week 24,ACTOT,>80,n,chg,_ALL_,14,
81,Y,Y,Week 24,ACTOT,>80,mean,chg,_ALL_,3.2142857143,
81,Y,Y,Week 24,ACTOT,>80,stddev,chg,_ALL_,3.4458128756,
81,Y,Y,Week 24,ACTOT,>80,median,chg,_ALL_,3.5,
81,Y,Y,Week 24,ACTOT,>80,min,chg,_ALL_,-3,
81,Y,Y,Week 24,ACTOT,>80,max,chg,_ALL_,9,
81,Y,Y,Week 24,ACTOT,>80,n,aval,_ALL_,14,
81,Y,Y,Week 24,ACTOT,>80,mean,aval,_ALL_,28.857142857,
81,Y,Y,Week 24,ACTOT,>80,stddev,aval,_ALL_,11.367004496,
81,Y,Y,Week 24,ACTOT,>80,median,aval,_ALL_,23.5,
81,Y,Y,Week 24,ACTOT,>80,min,aval,_ALL_,15,
81,Y,Y,Week 24,ACTOT,>80,max,aval,_ALL_,49,
